uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:secundairekenmerktypes,skos:Collection,secundairekenmerktypes,,,Collectie van secundairekenmerktypes.,,,,,,,,,,,,,cs,secundairekenmerktype,,,,,,
ct:13,skos:Concept,13,colt:secundairekenmerktypes,,andere klasten,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:38,skos:Concept,38,colt:secundairekenmerktypes,,anhydriet / gipshoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:76,skos:Concept,76,colt:secundairekenmerktypes,,anhydrietknollen / lenzen,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:60,skos:Concept,60,colt:secundairekenmerktypes,,basisgrind,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:1,skos:Concept,1,colt:secundairekenmerktypes,,bitumineus / kolig,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:34,skos:Concept,34,colt:secundairekenmerktypes,,brokkelig / splinterig,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:35,skos:Concept,35,colt:secundairekenmerktypes,,carbonaatconcretie,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:14,skos:Concept,14,colt:secundairekenmerktypes,,carbonaathoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:83,skos:Concept,83,colt:secundairekenmerktypes,,chalcopyrietknollen / -lagen,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:46,skos:Concept,46,colt:secundairekenmerktypes,,'coal ball',,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:9,skos:Concept,9,colt:secundairekenmerktypes,,coquina / schelpenkalk,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:5,skos:Concept,5,colt:secundairekenmerktypes,,doffe pyriet,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:84,skos:Concept,84,colt:secundairekenmerktypes,,dolomietbanken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:44,skos:Concept,44,colt:secundairekenmerktypes,,dolomiethoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:17,skos:Concept,17,colt:secundairekenmerktypes,,doorworteld / organische resten / houtresten,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:19,skos:Concept,19,colt:secundairekenmerktypes,,escaille,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:70,skos:Concept,70,colt:secundairekenmerktypes,,fijnkorrelig,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:36,skos:Concept,36,colt:secundairekenmerktypes,,fosfaatknol,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:20,skos:Concept,20,colt:secundairekenmerktypes,,gepyritiseerd,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:40,skos:Concept,40,colt:secundairekenmerktypes,,gipsknollen / lenzen,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:28,skos:Concept,28,colt:secundairekenmerktypes,,glauconiethoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:65,skos:Concept,65,colt:secundairekenmerktypes,,grindbanken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:71,skos:Concept,71,colt:secundairekenmerktypes,,grofkorrelig,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:57,skos:Concept,57,colt:secundairekenmerktypes,,harde banken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:6,skos:Concept,6,colt:secundairekenmerktypes,,helle pyriet,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:73,skos:Concept,73,colt:secundairekenmerktypes,,hematiethoudend / hematietoölieten,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:11,skos:Concept,11,colt:secundairekenmerktypes,,ingekoolde stammen,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:75,skos:Concept,75,colt:secundairekenmerktypes,,kalkhoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:52,skos:Concept,52,colt:secundairekenmerktypes,,kalklenzen / bankjes,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:68,skos:Concept,68,colt:secundairekenmerktypes,,kalkrijke banken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:81,skos:Concept,81,colt:secundairekenmerktypes,,kalksteenbanken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:8,skos:Concept,8,colt:secundairekenmerktypes,,kaoliniet oölieten,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:51,skos:Concept,51,colt:secundairekenmerktypes,,kleiig,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
