uri,dc.identifier,notation,prefLabel,definition,inScheme,topConceptOf,closeMatch
conceptscheme:secundairekenmerktype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.secundairekenmerktype,,"lijst met types secundaire kenmerken",,,,
concept:vm,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.vm,VM,valse muur (vloer),"Donker gekleurde (klei)steenlaag onder een steenkoollaag die geen deel uitmaakt van de koollaag, maar er op basis van de kleur kleur en textuur toe gerekend zou kunnen worden.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:es,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.es,ES,escaille,"Kleisteen met een schilferige textuur.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:vd,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.vd,VD,vals dak,"Donkergrijze tot zwarte (klei)steenlaag net boven een steenkoollaag die geen deel uitmaakt van de koollaag, maar er op basis van de kleur en textuur toe gerekend zou kunnen worden.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:ak,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ak,AK,andere klasten,"Klasten van diverse oorsprong.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:an,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.an,AN,anhydrietknollen / lenzen,"Knol of lens bestaande uit anhydriet (gedehydrateerd calciumsulfaat).",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/anhydrite
concept:bg,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.bg,BG,basisgrind,"Een interval aan de basis van een geologisch pakket dat grind bevat.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:bi,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.bi,BI,bitumineus / kolig,"Een interval met verhoogd gehalte organisch materiaal.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,http://inspire.ec.europa.eu/codelist/LithologyValue/bitumen
concept:br,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.br,BR,brokkelig / splinterig,"Interval dat makkelijk afbrokkelt of versplintert in kleinere deeltjes.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:ca,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ca,CA,carbonaathoudend,"Sediment of gesteente dat carbonaat bevat.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryMaterial
concept:cc,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.cc,CC,carbonaatconcretie,"Concretie bestaande uit carbonaatmineralen.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:ch,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ch,CH,chalcopyrietknollen / -lagen,"Knol of laag bestaande uit chalcopyriet (koperijzersulfide).",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:co,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.co,CO,'coal ball',"Een brok versteend plantaardig materiaal meestal met een ronde vorm die voorkomt in steenkool lagen. ",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:do,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.do,DO,dolomietbanken,"Interval met harde dolomietbanken.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/LithologyValue/dolomite
concept:fi,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.fi,FI,fijnkorrelig,"Interval met fijnkorrelig sediment (bv. klei, silt, fijn zand).",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:fo,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.fo,FO,fosfaatknol,"Knol bestaande uit fosfaat.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:gi,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.gi,GI,gipsknollen / lenzen,"Knol of lens bestaande uit gips (calciumsulfaat).",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/gypsum
concept:gk,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.gk,GK,grofkorrelig,"Interval met grofkorrelig sediment (bv. grof zand, grind).",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:gr,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.gr,GR,grindbanken,"Interval met grindbanken.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:hb,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.hb,HB,harde banken,"Interval met harde steenbanken.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:is,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.is,IS,ingekoolde stammen,"Zwarte ingekoolde resten van boomstammen.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:ka,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ka,KA,kaoliniet oölieten,"Korrels opgebouwd uit concentrische lagen van kaoliniet.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/kaolin
concept:kb,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.kb,KB,kalkrijke banken,"Interval met harde kalkrijke banken.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:ke,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ke,KE,kleiige banken,"Interval met kleiige banken.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:ki,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ki,KI,kristallijn,"Interval waarin mineralen een kristallijne structuur hebben.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:kj,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.kj,KJ,krijtklasten,"Klast bestaande uit krijt.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/LithologyValue/chalk
concept:kk,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.kk,KK,kleisteenklasten,"Klast bestaande uit kleisteen.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/LithologyValue/claystone
concept:kl,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.kl,KL,kalklenzen / bankjes,"Lenzen die hoofdzakelijk uit kalk bestaan.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSediment
concept:ko,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ko,KO,koolklasten,"Klasten van bruinkool of steenkool.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:kp,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.kp,KP,koolstrepen,"Zwarte strepen veroorzaakt door verkoold organisch materiaal.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:kr,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.kr,KR,korrelig,"Materiaal met een korrelige textuur.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:ks,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ks,KS,kalksteenbanken,"Interval met harde kalksteenbanken.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone
concept:kt,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.kt,KT,kleisteenlenzen / -banken,"Lenzen of banken bestaande uit kleisteen.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/LithologyValue/claystone
concept:kw,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.kw,KW,kwartsietisch,"Interval waarin het materiaal geheel of gedeeltelijk werd omgezet tot hard kwartsietgesteente, door metamorfe of diagenetische processen.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite
concept:ma,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.ma,MA,marmering / spikkeling,"Interval dat een marmer-achtige verkleuring vertoond of gespikkeld is.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:me,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.me,ME,mergelige banken,"Interval met mergelige banken.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,
concept:mi,be.vlaanderen.bodemenondergrond.data.id.concept.secundairekenmerktype.mi,MI,micahoudend,"Interval dat mica's (glimmers, plaatsvormige fylosilicaten) bevat.",conceptscheme:secundairekenmerktype,conceptscheme:secundairekenmerktype,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/mica
